episode,episode_return,episode_length,seed,env_id,policy,action_seed_mode,wall_time_sec
1,9.0,9,1234,CartPole-v1,left,0,0.001
2,10.0,10,1234,CartPole-v1,left,0,0.002
3,10.0,10,1234,CartPole-v1,left,0,0.002
4,9.0,9,1234,CartPole-v1,left,0,0.002
5,9.0,9,1234,CartPole-v1,left,0,0.003
6,9.0,9,1234,CartPole-v1,left,0,0.003
7,11.0,11,1234,CartPole-v1,left,0,0.004
8,10.0,10,1234,CartPole-v1,left,0,0.004
9,10.0,10,1234,CartPole-v1,left,0,0.004
10,8.0,8,1234,CartPole-v1,left,0,0.004
11,9.0,9,1234,CartPole-v1,left,0,0.005
12,9.0,9,1234,CartPole-v1,left,0,0.006
13,9.0,9,1234,CartPole-v1,left,0,0.006
14,8.0,8,1234,CartPole-v1,left,0,0.006
15,9.0,9,1234,CartPole-v1,left,0,0.006
16,10.0,10,1234,CartPole-v1,left,0,0.007
17,9.0,9,1234,CartPole-v1,left,0,0.007
18,10.0,10,1234,CartPole-v1,left,0,0.007
19,9.0,9,1234,CartPole-v1,left,0,0.007
20,8.0,8,1234,CartPole-v1,left,0,0.008
21,10.0,10,1234,CartPole-v1,left,0,0.008
22,10.0,10,1234,CartPole-v1,left,0,0.009
23,10.0,10,1234,CartPole-v1,left,0,0.009
24,9.0,9,1234,CartPole-v1,left,0,0.009
25,10.0,10,1234,CartPole-v1,left,0,0.009
26,9.0,9,1234,CartPole-v1,left,0,0.01
27,9.0,9,1234,CartPole-v1,left,0,0.01
28,10.0,10,1234,CartPole-v1,left,0,0.01
29,9.0,9,1234,CartPole-v1,left,0,0.01
30,9.0,9,1234,CartPole-v1,left,0,0.011
31,9.0,9,1234,CartPole-v1,left,0,0.011
32,8.0,8,1234,CartPole-v1,left,0,0.012
33,10.0,10,1234,CartPole-v1,left,0,0.012
34,9.0,9,1234,CartPole-v1,left,0,0.012
35,10.0,10,1234,CartPole-v1,left,0,0.012
36,9.0,9,1234,CartPole-v1,left,0,0.013
37,10.0,10,1234,CartPole-v1,left,0,0.013
38,9.0,9,1234,CartPole-v1,left,0,0.014
39,10.0,10,1234,CartPole-v1,left,0,0.014
40,9.0,9,1234,CartPole-v1,left,0,0.014
41,10.0,10,1234,CartPole-v1,left,0,0.015
42,10.0,10,1234,CartPole-v1,left,0,0.015
43,8.0,8,1234,CartPole-v1,left,0,0.015
44,10.0,10,1234,CartPole-v1,left,0,0.016
45,9.0,9,1234,CartPole-v1,left,0,0.016
46,9.0,9,1234,CartPole-v1,left,0,0.016
47,9.0,9,1234,CartPole-v1,left,0,0.016
48,9.0,9,1234,CartPole-v1,left,0,0.016
49,11.0,11,1234,CartPole-v1,left,0,0.017
50,10.0,10,1234,CartPole-v1,left,0,0.017
