episode,episode_return,episode_length,seed,env_id,policy,action_seed_mode,wall_time_sec
1,21.0,21,42,CartPole-v1,random,1,0.002
2,98.0,98,42,CartPole-v1,random,1,0.009
3,23.0,23,42,CartPole-v1,random,1,0.01
4,27.0,27,42,CartPole-v1,random,1,0.012
5,25.0,25,42,CartPole-v1,random,1,0.013
6,16.0,16,42,CartPole-v1,random,1,0.014
7,21.0,21,42,CartPole-v1,random,1,0.015
8,48.0,48,42,CartPole-v1,random,1,0.017
9,16.0,16,42,CartPole-v1,random,1,0.017
10,34.0,34,42,CartPole-v1,random,1,0.018
11,19.0,19,42,CartPole-v1,random,1,0.02
12,22.0,22,42,CartPole-v1,random,1,0.02
13,21.0,21,42,CartPole-v1,random,1,0.021
14,16.0,16,42,CartPole-v1,random,1,0.022
15,11.0,11,42,CartPole-v1,random,1,0.022
16,13.0,13,42,CartPole-v1,random,1,0.022
17,32.0,32,42,CartPole-v1,random,1,0.023
18,38.0,38,42,CartPole-v1,random,1,0.024
19,20.0,20,42,CartPole-v1,random,1,0.025
20,15.0,15,42,CartPole-v1,random,1,0.025
21,17.0,17,42,CartPole-v1,random,1,0.027
22,11.0,11,42,CartPole-v1,random,1,0.027
23,23.0,23,42,CartPole-v1,random,1,0.028
24,13.0,13,42,CartPole-v1,random,1,0.028
25,12.0,12,42,CartPole-v1,random,1,0.028
26,16.0,16,42,CartPole-v1,random,1,0.029
27,19.0,19,42,CartPole-v1,random,1,0.029
28,12.0,12,42,CartPole-v1,random,1,0.031
29,26.0,26,42,CartPole-v1,random,1,0.032
30,13.0,13,42,CartPole-v1,random,1,0.033
31,30.0,30,42,CartPole-v1,random,1,0.034
32,17.0,17,42,CartPole-v1,random,1,0.035
33,14.0,14,42,CartPole-v1,random,1,0.035
34,18.0,18,42,CartPole-v1,random,1,0.036
35,25.0,25,42,CartPole-v1,random,1,0.036
36,12.0,12,42,CartPole-v1,random,1,0.036
37,20.0,20,42,CartPole-v1,random,1,0.037
38,17.0,17,42,CartPole-v1,random,1,0.037
39,20.0,20,42,CartPole-v1,random,1,0.038
40,30.0,30,42,CartPole-v1,random,1,0.038
41,13.0,13,42,CartPole-v1,random,1,0.039
42,20.0,20,42,CartPole-v1,random,1,0.04
43,17.0,17,42,CartPole-v1,random,1,0.041
44,31.0,31,42,CartPole-v1,random,1,0.042
45,10.0,10,42,CartPole-v1,random,1,0.042
46,17.0,17,42,CartPole-v1,random,1,0.043
47,20.0,20,42,CartPole-v1,random,1,0.043
48,14.0,14,42,CartPole-v1,random,1,0.044
49,37.0,37,42,CartPole-v1,random,1,0.045
50,10.0,10,42,CartPole-v1,random,1,0.045
