episode,episode_return,episode_length,seed,env_id,wall_time_sec
1,21.0,21,0,CartPole-v1,0.001
2,54.0,54,0,CartPole-v1,0.003
3,18.0,18,0,CartPole-v1,0.003
4,12.0,12,0,CartPole-v1,0.004
5,17.0,17,0,CartPole-v1,0.004
6,17.0,17,0,CartPole-v1,0.005
7,27.0,27,0,CartPole-v1,0.005
8,36.0,36,0,CartPole-v1,0.006
9,14.0,14,0,CartPole-v1,0.007
10,15.0,15,0,CartPole-v1,0.007
11,17.0,17,0,CartPole-v1,0.008
12,60.0,60,0,CartPole-v1,0.009
13,21.0,21,0,CartPole-v1,0.01
14,17.0,17,0,CartPole-v1,0.01
15,15.0,15,0,CartPole-v1,0.01
16,58.0,58,0,CartPole-v1,0.012
17,17.0,17,0,CartPole-v1,0.012
18,9.0,9,0,CartPole-v1,0.012
19,20.0,20,0,CartPole-v1,0.013
20,9.0,9,0,CartPole-v1,0.013
21,34.0,34,0,CartPole-v1,0.014
22,23.0,23,0,CartPole-v1,0.015
23,52.0,52,0,CartPole-v1,0.016
24,18.0,18,0,CartPole-v1,0.016
25,23.0,23,0,CartPole-v1,0.017
26,13.0,13,0,CartPole-v1,0.017
27,20.0,20,0,CartPole-v1,0.018
28,46.0,46,0,CartPole-v1,0.019
29,14.0,14,0,CartPole-v1,0.019
30,13.0,13,0,CartPole-v1,0.019
31,24.0,24,0,CartPole-v1,0.02
32,10.0,10,0,CartPole-v1,0.02
33,15.0,15,0,CartPole-v1,0.021
34,10.0,10,0,CartPole-v1,0.021
35,19.0,19,0,CartPole-v1,0.022
36,16.0,16,0,CartPole-v1,0.022
37,11.0,11,0,CartPole-v1,0.023
38,18.0,18,0,CartPole-v1,0.023
39,15.0,15,0,CartPole-v1,0.023
40,33.0,33,0,CartPole-v1,0.024
41,42.0,42,0,CartPole-v1,0.026
42,11.0,11,0,CartPole-v1,0.026
43,19.0,19,0,CartPole-v1,0.027
44,11.0,11,0,CartPole-v1,0.028
45,14.0,14,0,CartPole-v1,0.028
46,26.0,26,0,CartPole-v1,0.029
47,31.0,31,0,CartPole-v1,0.029
48,15.0,15,0,CartPole-v1,0.03
49,17.0,17,0,CartPole-v1,0.03
50,11.0,11,0,CartPole-v1,0.03
