episode,episode_return,episode_length,seed,env_id,policy,action_seed_mode,wall_time_sec
1,10.0,10,0,CartPole-v1,left,1,0.0
2,9.0,9,0,CartPole-v1,left,1,0.001
3,9.0,9,0,CartPole-v1,left,1,0.002
4,8.0,8,0,CartPole-v1,left,1,0.002
5,9.0,9,0,CartPole-v1,left,1,0.002
6,10.0,10,0,CartPole-v1,left,1,0.003
7,9.0,9,0,CartPole-v1,left,1,0.003
8,10.0,10,0,CartPole-v1,left,1,0.003
9,9.0,9,0,CartPole-v1,left,1,0.003
10,9.0,9,0,CartPole-v1,left,1,0.004
11,9.0,9,0,CartPole-v1,left,1,0.005
12,10.0,10,0,CartPole-v1,left,1,0.005
13,9.0,9,0,CartPole-v1,left,1,0.005
14,9.0,9,0,CartPole-v1,left,1,0.005
15,10.0,10,0,CartPole-v1,left,1,0.006
16,10.0,10,0,CartPole-v1,left,1,0.006
17,9.0,9,0,CartPole-v1,left,1,0.006
18,10.0,10,0,CartPole-v1,left,1,0.006
19,10.0,10,0,CartPole-v1,left,1,0.006
20,10.0,10,0,CartPole-v1,left,1,0.007
21,9.0,9,0,CartPole-v1,left,1,0.007
22,10.0,10,0,CartPole-v1,left,1,0.007
23,10.0,10,0,CartPole-v1,left,1,0.008
24,9.0,9,0,CartPole-v1,left,1,0.008
25,10.0,10,0,CartPole-v1,left,1,0.008
26,10.0,10,0,CartPole-v1,left,1,0.008
27,10.0,10,0,CartPole-v1,left,1,0.008
28,9.0,9,0,CartPole-v1,left,1,0.009
29,9.0,9,0,CartPole-v1,left,1,0.009
30,10.0,10,0,CartPole-v1,left,1,0.009
31,9.0,9,0,CartPole-v1,left,1,0.01
32,10.0,10,0,CartPole-v1,left,1,0.01
33,8.0,8,0,CartPole-v1,left,1,0.01
34,10.0,10,0,CartPole-v1,left,1,0.01
35,8.0,8,0,CartPole-v1,left,1,0.011
36,8.0,8,0,CartPole-v1,left,1,0.011
37,10.0,10,0,CartPole-v1,left,1,0.011
38,9.0,9,0,CartPole-v1,left,1,0.011
39,10.0,10,0,CartPole-v1,left,1,0.011
40,8.0,8,0,CartPole-v1,left,1,0.012
41,10.0,10,0,CartPole-v1,left,1,0.012
42,8.0,8,0,CartPole-v1,left,1,0.013
43,10.0,10,0,CartPole-v1,left,1,0.014
44,9.0,9,0,CartPole-v1,left,1,0.014
45,9.0,9,0,CartPole-v1,left,1,0.015
46,10.0,10,0,CartPole-v1,left,1,0.015
47,10.0,10,0,CartPole-v1,left,1,0.016
48,9.0,9,0,CartPole-v1,left,1,0.016
49,10.0,10,0,CartPole-v1,left,1,0.016
50,9.0,9,0,CartPole-v1,left,1,0.016
