episode,episode_return,episode_length,seed,env_id,policy,action_seed_mode,wall_time_sec
1,9.0,9,1234,CartPole-v1,right,0,0.0
2,9.0,9,1234,CartPole-v1,right,0,0.0
3,9.0,9,1234,CartPole-v1,right,0,0.001
4,10.0,10,1234,CartPole-v1,right,0,0.001
5,10.0,10,1234,CartPole-v1,right,0,0.001
6,9.0,9,1234,CartPole-v1,right,0,0.002
7,8.0,8,1234,CartPole-v1,right,0,0.002
8,9.0,9,1234,CartPole-v1,right,0,0.002
9,8.0,8,1234,CartPole-v1,right,0,0.003
10,10.0,10,1234,CartPole-v1,right,0,0.003
11,10.0,10,1234,CartPole-v1,right,0,0.004
12,10.0,10,1234,CartPole-v1,right,0,0.004
13,10.0,10,1234,CartPole-v1,right,0,0.004
14,10.0,10,1234,CartPole-v1,right,0,0.004
15,10.0,10,1234,CartPole-v1,right,0,0.005
16,8.0,8,1234,CartPole-v1,right,0,0.005
17,9.0,9,1234,CartPole-v1,right,0,0.005
18,9.0,9,1234,CartPole-v1,right,0,0.005
19,9.0,9,1234,CartPole-v1,right,0,0.006
20,10.0,10,1234,CartPole-v1,right,0,0.006
21,8.0,8,1234,CartPole-v1,right,0,0.006
22,9.0,9,1234,CartPole-v1,right,0,0.007
23,9.0,9,1234,CartPole-v1,right,0,0.007
24,10.0,10,1234,CartPole-v1,right,0,0.007
25,9.0,9,1234,CartPole-v1,right,0,0.007
26,9.0,9,1234,CartPole-v1,right,0,0.007
27,10.0,10,1234,CartPole-v1,right,0,0.008
28,9.0,9,1234,CartPole-v1,right,0,0.008
29,10.0,10,1234,CartPole-v1,right,0,0.008
30,10.0,10,1234,CartPole-v1,right,0,0.008
31,9.0,9,1234,CartPole-v1,right,0,0.009
32,10.0,10,1234,CartPole-v1,right,0,0.009
33,9.0,9,1234,CartPole-v1,right,0,0.01
34,10.0,10,1234,CartPole-v1,right,0,0.01
35,9.0,9,1234,CartPole-v1,right,0,0.01
36,10.0,10,1234,CartPole-v1,right,0,0.01
37,9.0,9,1234,CartPole-v1,right,0,0.011
38,10.0,10,1234,CartPole-v1,right,0,0.011
39,9.0,9,1234,CartPole-v1,right,0,0.011
40,9.0,9,1234,CartPole-v1,right,0,0.011
41,9.0,9,1234,CartPole-v1,right,0,0.012
42,9.0,9,1234,CartPole-v1,right,0,0.012
43,11.0,11,1234,CartPole-v1,right,0,0.013
44,9.0,9,1234,CartPole-v1,right,0,0.013
45,10.0,10,1234,CartPole-v1,right,0,0.013
46,10.0,10,1234,CartPole-v1,right,0,0.013
47,10.0,10,1234,CartPole-v1,right,0,0.014
48,10.0,10,1234,CartPole-v1,right,0,0.014
49,8.0,8,1234,CartPole-v1,right,0,0.014
50,9.0,9,1234,CartPole-v1,right,0,0.014
