global_step,episode,episode_return,episode_length,epsilon,loss,eval_mean_return,wall_time_sec
18,1,18.0,18,0.999715,nan,nan,0.001
32,2,14.0,14,0.999493,nan,nan,0.002
44,3,12.0,12,0.999303,nan,nan,0.003
62,4,18.0,18,0.999018,nan,nan,0.004
85,5,23.0,23,0.998654,nan,nan,0.004
145,6,60.0,60,0.997704,nan,nan,0.006
160,7,15.0,15,0.997467,nan,nan,0.007
197,8,37.0,37,0.996881,nan,nan,0.008
260,9,63.0,63,0.995883,nan,nan,0.013
277,10,17.0,17,0.995614,nan,nan,0.013
297,11,20.0,20,0.995297,nan,nan,0.014
322,12,25.0,25,0.994902,nan,nan,0.015
334,13,12.0,12,0.994712,nan,nan,0.016
349,14,15.0,15,0.994474,nan,nan,0.017
366,15,17.0,17,0.994205,nan,nan,0.017
387,16,21.0,21,0.993873,nan,nan,0.018
408,17,21.0,21,0.99354,nan,nan,0.018
422,18,14.0,14,0.993318,nan,nan,0.019
455,19,33.0,33,0.992796,nan,nan,0.02
468,20,13.0,13,0.99259,nan,nan,0.02
498,21,30.0,30,0.992115,nan,nan,0.021
526,22,28.0,28,0.991672,nan,nan,0.022
550,23,24.0,24,0.991292,nan,nan,0.024
579,24,29.0,29,0.990833,nan,nan,0.025
596,25,17.0,17,0.990563,nan,nan,0.025
614,26,18.0,18,0.990278,nan,nan,0.026
627,27,13.0,13,0.990073,nan,nan,0.026
639,28,12.0,12,0.989882,nan,nan,0.027
682,29,43.0,43,0.989202,nan,nan,0.029
709,30,27.0,27,0.988774,nan,nan,0.03
749,31,40.0,40,0.988141,nan,nan,0.031
780,32,31.0,31,0.98765,nan,nan,0.032
791,33,11.0,11,0.987476,nan,nan,0.033
814,34,23.0,23,0.987112,nan,nan,0.034
830,35,16.0,16,0.986858,nan,nan,0.034
858,36,28.0,28,0.986415,nan,nan,0.035
883,37,25.0,25,0.986019,nan,nan,0.036
933,38,50.0,50,0.985228,nan,nan,0.038
992,39,59.0,59,0.984293,nan,nan,0.04
1011,40,19.0,19,0.983993,1.040405511856079,nan,0.056
1021,41,10.0,10,0.983834,0.9490920305252075,nan,0.068
1035,42,14.0,14,0.983613,0.8918013572692871,nan,0.081
1052,43,17.0,17,0.983343,0.794101893901825,nan,0.094
1067,44,15.0,15,0.983106,0.7432016134262085,nan,0.109
1121,45,54.0,54,0.982251,0.47676557302474976,nan,0.158
1136,46,15.0,15,0.982013,0.41895222663879395,nan,0.168
1158,47,22.0,22,0.981665,0.29906749725341797,nan,0.187
1200,48,42.0,42,0.981,0.16382266581058502,nan,0.216
1231,49,31.0,31,0.980509,0.10199858248233795,nan,0.239
1277,50,46.0,46,0.979781,0.05388057231903076,nan,0.278
1316,51,39.0,39,0.979163,0.033771395683288574,nan,0.309
1338,52,22.0,22,0.978815,0.03430917486548424,nan,0.329
1352,53,14.0,14,0.978593,0.023698747158050537,nan,0.343
1373,54,21.0,21,0.978261,0.026149965822696686,nan,0.364
1384,55,11.0,11,0.978087,0.025781482458114624,nan,0.371
1460,56,76.0,76,0.976883,0.02535076066851616,nan,0.431
1476,57,16.0,16,0.97663,0.009172805584967136,nan,0.443
1492,58,16.0,16,0.976377,0.008977355435490608,nan,0.455
1520,59,28.0,28,0.975933,0.011342382058501244,nan,0.476
1537,60,17.0,17,0.975664,0.007316343020647764,nan,0.494
1570,61,33.0,33,0.975142,0.006722552701830864,nan,0.531
1588,62,18.0,18,0.974857,0.009158989414572716,nan,0.547
1600,63,12.0,12,0.974667,0.008748354390263557,nan,0.558
1645,64,45.0,45,0.973954,0.005694727413356304,nan,0.602
1679,65,34.0,34,0.973416,0.004472048487514257,nan,0.63
1695,66,16.0,16,0.973163,0.00357840140350163,nan,0.643
1713,67,18.0,18,0.972877,0.002387578831985593,nan,0.657
1726,68,13.0,13,0.972672,0.002396018709987402,nan,0.666
1744,69,18.0,18,0.972387,0.0016359830042347312,nan,0.678
1756,70,12.0,12,0.972197,0.0015712040476500988,nan,0.687
1768,71,12.0,12,0.972007,0.0013911696150898933,nan,0.698
1786,72,18.0,18,0.971722,0.0008634398691356182,nan,0.716
1798,73,12.0,12,0.971532,0.0008189409272745252,nan,0.73
1809,74,11.0,11,0.971357,0.00142395100556314,nan,0.748
1846,75,37.0,37,0.970772,0.0015763879055157304,nan,0.782
1882,76,36.0,36,0.970202,0.0011733858846127987,nan,0.82
1901,77,19.0,19,0.969901,0.00043160776840522885,nan,0.835
1918,78,17.0,17,0.969632,0.0009558220044709742,nan,0.847
1932,79,14.0,14,0.96941,0.000375445990357548,nan,0.859
1956,80,24.0,24,0.96903,0.0003985361254308373,nan,0.879
1967,81,11.0,11,0.968856,0.00028875190764665604,nan,0.893
1984,82,17.0,17,0.968587,0.00024999602464959025,nan,0.909
2024,83,40.0,40,0.967953,0.7853813767433167,nan,0.946
2041,84,17.0,17,0.967684,0.4731253683567047,nan,0.967
2081,85,40.0,40,0.967051,0.09948719292879105,nan,1.006
2112,86,31.0,31,0.96656,0.12772028148174286,nan,1.034
2126,87,14.0,14,0.966338,0.11842445284128189,nan,1.051
2140,88,14.0,14,0.966117,0.06801437586545944,nan,1.064
2203,89,63.0,63,0.965119,0.10026983171701431,nan,1.122
2220,90,17.0,17,0.96485,0.04407572001218796,nan,1.138
2247,91,27.0,27,0.964422,0.04807170107960701,nan,1.164
2269,92,22.0,22,0.964074,0.07484005391597748,nan,1.187
2288,93,19.0,19,0.963773,0.08568526804447174,nan,1.201
2302,94,14.0,14,0.963552,0.027815673500299454,nan,1.214
2319,95,17.0,17,0.963283,0.029589660465717316,nan,1.229
2340,96,21.0,21,0.96295,0.042687807232141495,nan,1.246
2358,97,18.0,18,0.962665,0.031177230179309845,nan,1.265
2388,98,30.0,30,0.96219,0.044441722333431244,nan,1.288
2407,99,19.0,19,0.961889,0.028529571369290352,nan,1.305
2452,100,45.0,45,0.961177,0.03126385807991028,nan,1.346
2464,101,12.0,12,0.960987,0.03524424135684967,nan,1.361
2478,102,14.0,14,0.960765,0.028086155652999878,nan,1.375
2492,103,14.0,14,0.960543,0.03223938122391701,nan,1.386
2506,104,14.0,14,0.960322,0.04540635645389557,nan,1.397
2536,105,30.0,30,0.959847,0.03972508758306503,nan,1.42
2564,106,28.0,28,0.959403,0.02410605549812317,nan,1.443
2587,107,23.0,23,0.959039,0.0607558935880661,nan,1.465
2604,108,17.0,17,0.95877,0.06104454770684242,nan,1.482
2631,109,27.0,27,0.958342,0.03795358166098595,nan,1.508
2667,110,36.0,36,0.957773,0.07620546966791153,nan,1.535
2682,111,15.0,15,0.957535,0.014094877056777477,nan,1.548
2710,112,28.0,28,0.957092,0.08942069113254547,nan,1.572
2722,113,12.0,12,0.956902,0.046486321836709976,nan,1.581
2762,114,40.0,40,0.956268,0.052572064101696014,nan,1.616
2785,115,23.0,23,0.955904,0.018313169479370117,nan,1.636
2821,116,36.0,36,0.955334,0.01383642666041851,nan,1.666
2832,117,11.0,11,0.95516,0.020512225106358528,nan,1.675
2858,118,26.0,26,0.954748,0.04927503690123558,nan,1.705
2870,119,12.0,12,0.954558,0.03382841870188713,nan,1.718
2892,120,22.0,22,0.95421,0.02952652983367443,nan,1.738
2931,121,39.0,39,0.953592,0.017998358234763145,nan,1.772
2943,122,12.0,12,0.953403,0.03130144625902176,nan,1.783
2962,123,19.0,19,0.953102,0.046324461698532104,nan,1.801
2979,124,17.0,17,0.952832,0.013647760264575481,nan,1.815
2995,125,16.0,16,0.952579,0.060885362327098846,nan,1.829
3007,126,12.0,12,0.952389,0.9420859813690186,nan,1.839
3039,127,32.0,32,0.951882,0.4251019060611725,nan,1.869
3058,128,19.0,19,0.951582,0.19319523870944977,nan,1.889
3068,129,10.0,10,0.951423,0.3197624981403351,nan,1.894
3107,130,39.0,39,0.950806,0.23498687148094177,nan,1.924
3121,131,14.0,14,0.950584,0.18552252650260925,nan,1.938
3149,132,28.0,28,0.950141,0.0984707772731781,nan,1.968
3164,133,15.0,15,0.949903,0.031316276639699936,nan,1.976
3177,134,13.0,13,0.949697,0.1806172877550125,nan,1.988
3196,135,19.0,19,0.949397,0.1276695281267166,nan,2.0
3216,136,20.0,20,0.94908,0.08439815789461136,nan,2.018
3228,137,12.0,12,0.94889,0.1885005682706833,nan,2.027
3238,138,10.0,10,0.948732,0.09835532307624817,nan,2.038
3248,139,10.0,10,0.948573,0.26530563831329346,nan,2.046
3264,140,16.0,16,0.94832,0.04742881655693054,nan,2.059
3276,141,12.0,12,0.94813,0.10311377048492432,nan,2.073
3313,142,37.0,37,0.947544,0.06920289248228073,nan,2.108
3333,143,20.0,20,0.947228,0.1064777597784996,nan,2.126
3357,144,24.0,24,0.946847,0.09383880347013474,nan,2.148
3371,145,14.0,14,0.946626,0.022686509415507317,nan,2.158
3401,146,30.0,30,0.946151,0.08872831612825394,nan,2.181
3440,147,39.0,39,0.945533,0.11251730471849442,nan,2.211
3465,148,25.0,25,0.945137,0.05520747974514961,nan,2.235
3481,149,16.0,16,0.944884,0.143621563911438,nan,2.247
3527,150,46.0,46,0.944156,0.13391725718975067,nan,2.358
3542,151,15.0,15,0.943918,0.12559698522090912,nan,2.41
3576,152,34.0,34,0.94338,0.13553586602210999,nan,2.486
3627,153,51.0,51,0.942573,0.07831396907567978,nan,2.607
3646,154,19.0,19,0.942272,0.08998662233352661,nan,2.627
3660,155,14.0,14,0.94205,0.17019012570381165,nan,2.637
3698,156,38.0,38,0.941448,0.04300903528928757,nan,2.669
3746,157,48.0,48,0.940688,0.06389343738555908,nan,2.711
3763,158,17.0,17,0.940419,0.03515671566128731,nan,2.727
3773,159,10.0,10,0.940261,0.10639059543609619,nan,2.736
3791,160,18.0,18,0.939976,0.0838809460401535,nan,2.748
3808,161,17.0,17,0.939707,0.1341802477836609,nan,2.763
3836,162,28.0,28,0.939263,0.09027263522148132,nan,2.785
3849,163,13.0,13,0.939057,0.15370620787143707,nan,2.8
3865,164,16.0,16,0.938804,0.05080762878060341,nan,2.811
3879,165,14.0,14,0.938582,0.1536954939365387,nan,2.822
3904,166,25.0,25,0.938187,0.22766223549842834,nan,2.852
3935,167,31.0,31,0.937696,0.1329357773065567,nan,2.884
3964,168,29.0,29,0.937237,0.01676052063703537,nan,2.911
3988,169,24.0,24,0.936857,0.12176361680030823,nan,2.933
4004,170,16.0,16,0.936603,0.06769438087940216,nan,2.952
4050,171,46.0,46,0.935875,0.1365119069814682,nan,2.997
4063,172,13.0,13,0.935669,0.13236159086227417,nan,3.006
4099,173,36.0,36,0.935099,0.39431411027908325,nan,3.038
4112,174,13.0,13,0.934893,0.14951664209365845,nan,3.049
4121,175,9.0,9,0.934751,0.26975587010383606,nan,3.058
4145,176,24.0,24,0.934371,0.08841395378112793,nan,3.077
4173,177,28.0,28,0.933928,0.24512822926044464,nan,3.102
4196,178,23.0,23,0.933563,0.22861403226852417,nan,3.123
4212,179,16.0,16,0.93331,0.22669219970703125,nan,3.135
4232,180,20.0,20,0.932993,0.36397185921669006,nan,3.156
4244,181,12.0,12,0.932803,0.2154144048690796,nan,3.171
4296,182,52.0,52,0.93198,0.126866415143013,nan,3.212
4322,183,26.0,26,0.931568,0.3052282929420471,nan,3.236
4345,184,23.0,23,0.931204,0.014420604333281517,nan,3.258
4372,185,27.0,27,0.930777,0.2841900885105133,nan,3.285
